arxiv_id,compound_formula,sample_form,synthesis_method,doping_or_composition,tc_K,hc2_T,temperature_K,field_T,Jc_A_per_cm2,figure_id,notes,primary_scan_direction,fixed_axis_value,repair,printed_axis
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,thin_film,unknown,SmFeAsO0.8F0.2_30K,55.0,86.0,30.0,0.4036697247706423,8416.369464228812,elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K,Wide-to-long converted from user digitization elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K.csv; series_label=SmFeAsO0.8F0.2_30K; scan_direction=H,H,30.0,"H x 0.1, Jc x 1","H (kOe), 0 to 50"
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,thin_film,unknown,SmFeAsO0.8F0.2_35K,55.0,86.0,35.0,0.2844036697247708,4079.894363248243,elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K,Wide-to-long converted from user digitization elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K.csv; series_label=SmFeAsO0.8F0.2_35K; scan_direction=H,H,35.0,"H x 0.1, Jc x 1","H (kOe), 0 to 50"
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,thin_film,unknown,SmFeAsO0.8F0.2_40K,55.0,86.0,40.0,0.4036697247706423,95.50657652541187,elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K,Wide-to-long converted from user digitization elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K.csv; series_label=SmFeAsO0.8F0.2_40K; scan_direction=H,H,40.0,"H x 0.1, Jc x 1","H (kOe), 0 to 50"
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,thin_film,unknown,SmFeAsO0.8F0.2_2K,55.0,86.0,2.0,0.5045871559633026,246989.7147445484,elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K,Wide-to-long converted from user digitization elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K.csv; series_label=SmFeAsO0.8F0.2_2K; scan_direction=H,H,2.0,"H x 0.1, Jc x 1","H (kOe), 0 to 50"
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,thin_film,unknown,SmFeAsO0.8F0.2_5K,55.0,86.0,5.0,0.5045871559633026,116561.66447405104,elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K,Wide-to-long converted from user digitization elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K.csv; series_label=SmFeAsO0.8F0.2_5K; scan_direction=H,H,5.0,"H x 0.1, Jc x 1","H (kOe), 0 to 50"
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,thin_film,unknown,SmFeAsO0.8F0.2_10K,55.0,86.0,10.0,0.8899082568807339,33945.485927260204,elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K,Wide-to-long converted from user digitization elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K.csv; series_label=SmFeAsO0.8F0.2_10K; scan_direction=H,H,10.0,"H x 0.1, Jc x 1","H (kOe), 0 to 50"
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,thin_film,unknown,SmFeAsO0.8F0.2_15K,55.0,86.0,15.0,0.49541284403669705,24604.524423023293,elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K,Wide-to-long converted from user digitization elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K.csv; series_label=SmFeAsO0.8F0.2_15K; scan_direction=H,H,15.0,"H x 0.1, Jc x 1","H (kOe), 0 to 50"
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,thin_film,unknown,SmFeAsO0.8F0.2_20K,55.0,86.0,20.0,0.5045871559633026,17833.965416797648,elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K,Wide-to-long converted from user digitization elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K.csv; series_label=SmFeAsO0.8F0.2_20K; scan_direction=H,H,20.0,"H x 0.1, Jc x 1","H (kOe), 0 to 50"
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,thin_film,unknown,SmFeAsO0.8F0.2_25K,55.0,86.0,25.0,0.49541284403669705,12251.417957120244,elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K,Wide-to-long converted from user digitization elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K.csv; series_label=SmFeAsO0.8F0.2_25K; scan_direction=H,H,25.0,"H x 0.1, Jc x 1","H (kOe), 0 to 50"
elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,thin_film,unknown,SmFeAsO0.8F0.2_30K,55.0,86.0,30.0,0.49541284403669705,7560.243330199182,elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K,Wide-to-long converted from user digitization elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K.csv; series_label=SmFeAsO0.8F0.2_30K; scan_direction=H,H,30.0,"H x 0.1, Jc x 1","H (kOe), 0 to 50"
